ID del cliente,Sexo,Edad,Ingresos,Tipo de hogar,Estado civil,Número de hijos,Puntuación de crédito,Tipo de trabajo,Educación,Fecha de inicio de la póliza,Tipo de seguro,Monto del seguro,Fecha del reclamo,Monto del reclamo
1,Femenino,28,558900,Departamento,Viudo,3,556,Empresario,Preparatoria,2022-03-28,Vida,1806,2022-11-14,558
2,Femenino,18,212925,Departamento,Viudo,1,330,Empleado,Posgrado,2022-09-15,Vida,1371,2022-04-25,922
3,Femenino,37,838328,Departamento,Casado,3,776,Empresario,Universidad,2022-03-18,Hogar,6751,2022-07-31,3128
4,Masculino,25,459616,Casa,Soltero,4,821,Independiente,Universidad,2022-11-14,Hogar,5448,2022-07-29,1493
5,Masculino,41,678250,Casa,Casado,4,580,Empresario,Universidad,2023-03-02,Vida,5625,2022-07-08,1907
6,Masculino,58,322007,Departamento,Soltero,3,445,Empleado,Posgrado,2022-09-29,Auto,6316,2022-09-06,4049
7,Masculino,39,813734,Departamento,Casado,0,663,Independiente,Posgrado,2022-03-28,Vida,2354,2022-04-05,1153
8,Femenino,21,238991,Departamento,Viudo,1,759,Independiente,Preparatoria,2022-06-08,Hogar,9248,2022-12-12,6341
9,Femenino,27,523721,Departamento,Soltero,1,569,Empleado,Universidad,2022-12-24,Salud,2713,2022-12-19,327
10,Masculino,44,690177,Casa,Divorciado,0,522,Independiente,Posgrado,2022-08-31,Vida,9431,2022-06-15,1918
11,Femenino,29,127103,Casa,Divorciado,2,810,Empresario,Universidad,2022-03-30,Auto,8983,2022-10-07,607
12,Masculino,72,334300,Departamento,Casado,1,358,Independiente,Posgrado,2022-04-06,Auto,8118,2022-06-30,4852
13,Masculino,22,481813,Departamento,Soltero,3,617,Empresario,Universidad,2022-05-01,Auto,6748,2023-02-21,4994
14,Masculino,23,818928,Departamento,Casado,1,701,Empresario,Preparatoria,2022-04-01,Auto,7697,2022-09-10,6811
15,Masculino,58,461061,Departamento,Casado,0,753,Empresario,Universidad,2022-10-08,Hogar,4840,2022-11-01,4838
16,Masculino,46,60742,Casa,Viudo,4,319,Empresario,Preparatoria,2023-01-18,Hogar,8424,2022-06-04,5664
17,Masculino,38,729583,Departamento,Casado,1,687,Independiente,Preparatoria,2022-09-10,Salud,4006,2022-05-23,3463
18,Femenino,75,189976,Departamento,Soltero,3,672,Empresario,Preparatoria,2022-07-14,Hogar,9199,2023-01-23,6684
19,Masculino,40,699581,Departamento,Viudo,3,559,Independiente,Universidad,2022-06-01,Hogar,7688,2022-04-19,1415
20,Femenino,61,63461,Departamento,Viudo,2,838,Empresario,Posgrado,2022-04-03,Hogar,1698,2022-10-06,1319
21,Masculino,78,767954,Departamento,Soltero,3,451,Empleado,Posgrado,2022-03-31,Auto,2787,2022-09-19,2729
22,Femenino,73,63341,Casa,Viudo,5,391,Empresario,Universidad,2022-09-09,Auto,4099,2022-12-18,1325
23,Femenino,71,681027,Casa,Casado,3,370,Empleado,Posgrado,2022-07-21,Vida,9520,2022-03-16,599
24,Femenino,50,852428,Casa,Divorciado,0,592,Empleado,Preparatoria,2023-01-06,Salud,3892,2022-06-11,160
25,Femenino,35,368955,Casa,Soltero,0,764,Empresario,Universidad,2022-08-28,Vida,6887,2022-06-03,1952
26,Masculino,45,875614,Departamento,Casado,2,416,Empresario,Universidad,2023-02-05,Vida,3024,2022-08-28,449
27,Masculino,54,635489,Casa,Casado,2,421,Empleado,Preparatoria,2022-07-26,Vida,5590,2022-11-19,2335
28,Masculino,42,817661,Casa,Viudo,5,415,Empleado,Preparatoria,2023-01-28,Hogar,6452,2023-02-21,5431
29,Masculino,30,328295,Departamento,Soltero,1,345,Empresario,Posgrado,2022-05-27,Auto,6121,2022-09-09,3753
30,Femenino,65,769240,Casa,Divorciado,0,699,Empresario,Preparatoria,2023-02-04,Hogar,1021,2022-05-20,175
31,Masculino,35,318188,Casa,Casado,5,787,Empleado,Preparatoria,2022-07-24,Auto,3143,2022-06-25,2594
32,Masculino,66,764649,Departamento,Soltero,4,388,Empleado,Posgrado,2022-07-08,Hogar,5774,2022-07-07,5399
33,Masculino,65,496362,Casa,Soltero,5,620,Empleado,Universidad,2022-04-29,Hogar,2475,2022-12-01,892
