ID del cliente,Edad,Ingresos,Número de hijos,Puntuación de crédito,Monto del seguro,start_date,start_date_day,start_date_month,start_date_weekday,target,Sexo_Masculino,Tipo de hogar_Departamento,Estado civil_Divorciado,Estado civil_Soltero,Estado civil_Viudo,Tipo de trabajo_Empresario,Tipo de trabajo_Independiente,Educación_Preparatoria,Educación_Universidad,Tipo de seguro_Hogar,Tipo de seguro_Salud,Tipo de seguro_Vida
1,28,558900,3,556,1806,2022-03-28,28,3,0,0,0,1,0,0,1,1,0,1,0,0,0,1
2,18,212925,1,330,1371,2022-09-15,15,9,3,0,0,1,0,0,1,0,0,0,0,0,0,1
3,37,838328,3,776,6751,2022-03-18,18,3,4,0,0,1,0,0,0,1,0,0,1,1,0,0
4,25,459616,4,821,5448,2022-11-14,14,11,0,0,1,0,0,1,0,0,1,0,1,1,0,0
5,41,678250,4,580,5625,2023-03-02,2,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1
6,58,322007,3,445,6316,2022-09-29,29,9,3,0,1,1,0,1,0,0,0,0,0,0,0,0
7,39,813734,0,663,2354,2022-03-28,28,3,0,0,1,1,0,0,0,0,1,0,0,0,0,1
8,21,238991,1,759,9248,2022-06-08,8,6,2,0,0,1,0,0,1,0,1,1,0,1,0,0
9,27,523721,1,569,2713,2022-12-24,24,12,5,0,0,1,0,1,0,0,0,0,1,0,1,0
10,44,690177,0,522,9431,2022-08-31,31,8,2,0,1,0,1,0,0,0,1,0,0,0,0,1
11,29,127103,2,810,8983,2022-03-30,30,3,2,0,0,0,1,0,0,1,0,0,1,0,0,0
12,72,334300,1,358,8118,2022-04-06,6,4,2,0,1,1,0,0,0,0,1,0,0,0,0,0
13,22,481813,3,617,6748,2022-05-01,1,5,6,1,1,1,0,1,0,1,0,0,1,0,0,0
14,23,818928,1,701,7697,2022-04-01,1,4,4,0,1,1,0,0,0,1,0,1,0,0,0,0
15,58,461061,0,753,4840,2022-10-08,8,10,5,0,1,1,0,0,0,1,0,0,1,1,0,0
16,46,60742,4,319,8424,2023-01-18,18,1,2,0,1,0,0,0,1,1,0,1,0,1,0,0
17,38,729583,1,687,4006,2022-09-10,10,9,5,0,1,1,0,0,0,0,1,1,0,0,1,0
18,75,189976,3,672,9199,2022-07-14,14,7,3,1,0,1,0,1,0,1,0,1,0,1,0,0
19,40,699581,3,559,7688,2022-06-01,1,6,2,0,1,1,0,0,1,0,1,0,1,1,0,0
20,61,63461,2,838,1698,2022-04-03,3,4,6,0,0,1,0,0,1,1,0,0,0,1,0,0
21,78,767954,3,451,2787,2022-03-31,31,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0
22,73,63341,5,391,4099,2022-09-09,9,9,4,0,0,0,0,0,1,1,0,0,1,0,0,0
23,71,681027,3,370,9520,2022-07-21,21,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1
24,50,852428,0,592,3892,2023-01-06,6,1,4,0,0,0,1,0,0,0,0,1,0,0,1,0
25,35,368955,0,764,6887,2022-08-28,28,8,6,0,0,0,0,1,0,1,0,0,1,0,0,1
26,45,875614,2,416,3024,2023-02-05,5,2,6,0,1,1,0,0,0,1,0,0,1,0,0,1
27,54,635489,2,421,5590,2022-07-26,26,7,1,0,1,0,0,0,0,0,0,1,0,0,0,1
28,42,817661,5,415,6452,2023-01-28,28,1,5,1,1,0,0,0,1,0,0,1,0,1,0,0
29,30,328295,1,345,6121,2022-05-27,27,5,4,0,1,1,0,1,0,1,0,0,0,0,0,0
30,65,769240,0,699,1021,2023-02-04,4,2,5,0,0,0,1,0,0,1,0,1,0,1,0,0
31,35,318188,5,787,3143,2022-07-24,24,7,6,0,1,0,0,0,0,0,0,1,0,0,0,0
32,66,764649,4,388,5774,2022-07-08,8,7,4,0,1,1,0,1,0,0,0,0,0,1,0,0
33,65,496362,5,620,2475,2022-04-29,29,4,4,0,1,0,0,1,0,0,0,0,1,1,0,0
34,60,187245,5,797,3586,2023-01-28,28,1,5,0,0,0,0,1,0,0,1,0,0,0,0,1
35,43,75977,2,814,2556,2022-09-05,5,9,0,0,1,1,0,1,0,0,0,1,0,0,0,1
36,39,306996,2,549,4720,2022-03-09,9,3,2,0,0,1,1,0,0,1,0,0,0,1,0,0
37,62,687669,3,471,2976,2022-06-06,6,6,0,1,0,1,0,0,0,0,1,0,0,0,0,1
38,72,857770,1,485,1777,2022-04-27,27,4,2,1,0,0,0,0,1,0,1,0,0,0,1,0
39,21,591918,0,618,9414,2022-03-06,6,3,6,0,0,1,0,0,0,0,1,1,0,0,0,0
40,65,631723,2,381,2673,2023-01-22,22,1,6,0,0,1,0,1,0,1,0,0,1,1,0,0
41,25,197032,4,667,3398,2022-05-31,31,5,1,0,0,0,0,0,1,0,1,1,0,0,0,0
42,70,630407,1,488,4379,2022-06-20,20,6,0,1,0,1,1,0,0,0,0,0,0,1,0,0
43,30,191446,2,793,3482,2022-06-13,13,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
44,45,779721,5,791,2789,2022-08-26,26,8,4,0,1,0,0,1,0,0,1,0,1,1,0,0
45,60,851311,2,436,9144,2022-06-07,7,6,1,0,0,1,1,0,0,0,1,0,1,0,0,0
46,49,727163,0,372,3946,2022-05-27,27,5,4,0,0,0,0,0,0,0,1,0,1,0,1,0
47,71,924475,1,733,5106,2022-11-07,7,11,0,0,0,1,0,1,0,0,1,0,1,0,1,0
